name,vrom_start,vrom_end,rom_start,rom_end,overlay_vram_start,overlay_dir
boot,1060,7170,1060,0,,
code,A88000,B8A230,A580D0,AF27E0,,
ovl_title,B8A230,B8AA80,AF27E0,AF2E20,80800000,gamestates
ovl_select,B8AA80,B8D700,AF2E20,AF4900,80800850,gamestates
ovl_opening,B8D700,B8D860,AF4900,AF4A30,808034D0,gamestates
ovl_file_choose,B8D860,B9C470,AF4A30,AFCFD0,80803630,gamestates
ovl_kaleido_scope,B9C470,BB8E30,AFCFD0,B0BEC0,80812260,misc
ovl_player_actor,BB8E30,BDF540,B0BEC0,B25210,8082EC90,actors
ovl_map_mark_data,BDF540,BE6020,B25210,B255C0,80855470,misc
ovl_En_Test,BE6020,BEB8D0,B255C0,B28A90,8085BF50,actors
ovl_Arms_Hook,BEB8D0,BEC640,B28A90,B29520,80861800,actors
ovl_Arrow_Fire,BEC640,BEE520,B29520,B2AFE0,80862570,actors
ovl_Arrow_Ice,BEE520,BF0420,B2AFE0,B2C850,80864450,actors
ovl_Arrow_Light,BF0420,BF2330,B2C850,B2E150,80866350,actors
ovl_Bg_Bdan_Objects,BF2330,BF3600,B2E150,B2EE80,80868260,actors
ovl_Bg_Bdan_Switch,BF3600,BF4A30,B2EE80,B2FA30,80869530,actors
ovl_Bg_Bom_Guard,BF4A30,BF4C50,B2FA30,B2FC20,8086A960,actors
ovl_Bg_Bombwall,BF4C50,BF5510,B2FC20,B30300,8086AB80,actors
ovl_Bg_Bowl_Wall,BF5510,BF5E90,B30300,B30B20,8086B440,actors
ovl_Bg_Breakwall,BF5E90,BF6D00,B30B20,B31680,8086BDC0,actors
ovl_Bg_Ddan_Jd,BF6D00,BF7350,B31680,B31B80,8086CC30,actors
ovl_Bg_Ddan_Kd,BF7350,BF7C40,B31B80,B32260,8086D280,actors
ovl_Bg_Dodoago,BF7C40,BF8980,B32260,B32CC0,8086DB70,actors
ovl_Bg_Dy_Yoseizo,BF8980,BFB770,B32CC0,B34C00,8086E920,actors
ovl_Bg_Ganon_Otyuka,BFB770,BFDDB0,B34C00,B36920,80871710,actors
ovl_Bg_Gate_Shutter,BFDDB0,BFE240,B36920,B36CA0,80873D50,actors
ovl_Bg_Gjyo_Bridge,BFE240,BFE730,B36CA0,B370D0,808741E0,actors
ovl_Bg_Gnd_Darkmeiro,BFE730,BFEEF0,B370D0,B37690,808746D0,actors
ovl_Bg_Gnd_Firemeiro,BFEEF0,BFF440,B37690,B37AF0,80874E90,actors
ovl_Bg_Gnd_Iceblock,BFF440,C00530,B37AF0,B38630,808753E0,actors
ovl_Bg_Gnd_Nisekabe,C00530,C006A0,B38630,B38780,808764E0,actors
ovl_Bg_Gnd_Soulmeiro,C006A0,C00F00,B38780,B38E80,80876650,actors
ovl_Bg_Haka,C00F00,C015C0,B38E80,B39430,80876EB0,actors
ovl_Bg_Haka_Gate,C015C0,C02650,B39430,B3A110,80877570,actors
ovl_Bg_Haka_Huta,C02650,C030F0,B3A110,B3A970,80878610,actors
ovl_Bg_Haka_Megane,C030F0,C034F0,B3A970,B3ACC0,808790B0,actors
ovl_Bg_Haka_MeganeBG,C034F0,C03BB0,B3ACC0,B3B210,808794B0,actors
ovl_Bg_Haka_Sgami,C03BB0,C047D0,B3B210,B3BB90,80879B70,actors
ovl_Bg_Haka_Ship,C047D0,C05220,B3BB90,B3C3C0,8087A790,actors
ovl_Bg_Haka_Trap,C05220,C067F0,B3C3C0,B3D3D0,8087B1E0,actors
ovl_Bg_Haka_Tubo,C067F0,C07210,B3D3D0,B3DC10,8087C7B0,actors
ovl_Bg_Haka_Water,C07210,C07A10,B3DC10,B3E1D0,8087D1D0,actors
ovl_Bg_Haka_Zou,C07A10,C08C00,B3E1D0,B3EF50,8087D9D0,actors
ovl_Bg_Heavy_Block,C08C00,C0A4F0,B3EF50,B40190,8087EBC0,actors
ovl_Bg_Hidan_Curtain,C0A4F0,C0AF90,B40190,B409C0,808804B0,actors
ovl_Bg_Hidan_Dalm,C0AF90,C0B7E0,B409C0,B41020,80880F50,actors
ovl_Bg_Hidan_Firewall,C0B7E0,C0BF40,B41020,B41660,808817A0,actors
ovl_Bg_Hidan_Fslift,C0BF40,C0C410,B41660,B41A10,80881F00,actors
ovl_Bg_Hidan_Fwbig,C0C410,C0D0F0,B41A10,B42470,808823D0,actors
ovl_Bg_Hidan_Hamstep,C0D0F0,C0DFA0,B42470,B42FA0,808830B0,actors
ovl_Bg_Hidan_Hrock,C0DFA0,C0E7D0,B42FA0,B43610,80883F60,actors
ovl_Bg_Hidan_Kousi,C0E7D0,C0ED60,B43610,B43A50,80884790,actors
ovl_Bg_Hidan_Kowarerukabe,C0ED60,C0FC40,B43A50,B44420,80884D20,actors
ovl_Bg_Hidan_Rock,C0FC40,C10D40,B44420,B45100,80885C00,actors
ovl_Bg_Hidan_Rsekizou,C10D40,C11920,B45100,B459E0,80886D00,actors
ovl_Bg_Hidan_Sekizou,C11920,C12D70,B459E0,B46950,808878E0,actors
ovl_Bg_Hidan_Sima,C12D70,C13C70,B46950,B47520,80888D30,actors
ovl_Bg_Hidan_Syoku,C13C70,C140D0,B47520,B47830,80889C30,actors
ovl_Bg_Ice_Objects,C140D0,C15010,B47830,B48270,8088A090,actors
ovl_Bg_Ice_Shelter,C15010,C16250,B48270,B49060,8088AFD0,actors
ovl_Bg_Ice_Shutter,C16250,C166C0,B49060,B493C0,8088C210,actors
ovl_Bg_Ice_Turara,C166C0,C16EF0,B493C0,B49A80,8088C680,actors
ovl_Bg_Ingate,C16EF0,C17280,B49A80,B49DA0,8088CEB0,actors
ovl_Bg_Jya_1flift,C17280,C17910,B49DA0,B4A2A0,8088D240,actors
ovl_Bg_Jya_Amishutter,C17910,C17CA0,B4A2A0,B4A4F0,8088D8D0,actors
ovl_Bg_Jya_Bigmirror,C17CA0,C184F0,B4A4F0,B4AC00,8088DC60,actors
ovl_Bg_Jya_Block,C184F0,C18760,B4AC00,B4AE60,8088E4B0,actors
ovl_Bg_Jya_Bombchuiwa,C18760,C192A0,B4AE60,B4B710,8088E720,actors
ovl_Bg_Jya_Bombiwa,C192A0,C19860,B4B710,B4BBF0,8088F260,actors
ovl_Bg_Jya_Cobra,C19860,C1B5A0,B4BBF0,B4D170,8088F820,actors
ovl_Bg_Jya_Goroiwa,C1B5A0,C1BD20,B4D170,B4D7D0,80891560,actors
ovl_Bg_Jya_Haheniron,C1BD20,C1C510,B4D7D0,B4DE50,80891CE0,actors
ovl_Bg_Jya_Ironobj,C1C510,C1D2C0,B4DE50,B4E7B0,808924D0,actors
ovl_Bg_Jya_Kanaami,C1D2C0,C1D670,B4E7B0,B4EAA0,80893280,actors
ovl_Bg_Jya_Lift,C1D670,C1DBC0,B4EAA0,B4EEF0,80893630,actors
ovl_Bg_Jya_Megami,C1DBC0,C1EDB0,B4EEF0,B4FDD0,80893B80,actors
ovl_Bg_Jya_Zurerukabe,C1EDB0,C1F460,B4FDD0,B50320,80894D70,actors
ovl_Bg_Menkuri_Eye,C1F460,C1F8F0,B50320,B50710,80895420,actors
ovl_Bg_Menkuri_Kaiten,C1F8F0,C1FA80,B50710,B50870,808958C0,actors
ovl_Bg_Menkuri_Nisekabe,C1FA80,C1FBD0,B50870,B50990,80895A50,actors
ovl_Bg_Mizu_Bwall,C1FBD0,C210A0,B50990,B51760,80895BA0,actors
ovl_Bg_Mizu_Movebg,C210A0,C22220,B51760,B52440,80897070,actors
ovl_Bg_Mizu_Shutter,C22220,C22A20,B52440,B52A80,80898200,actors
ovl_Bg_Mizu_Uzu,C22A20,C22BF0,B52A80,B52C00,80898A00,actors
ovl_Bg_Mizu_Water,C22BF0,C238C0,B52C00,B53500,80898BD0,actors
ovl_Bg_Mjin,C238C0,C23CB0,B53500,B53860,808998A0,actors
ovl_Bg_Mori_Bigst,C23CB0,C245E0,B53860,B53ED0,80899C90,actors
ovl_Bg_Mori_Elevator,C245E0,C250D0,B53ED0,B54620,8089A5C0,actors
ovl_Bg_Mori_Hashigo,C250D0,C25990,B54620,B54CA0,8089B0B0,actors
ovl_Bg_Mori_Hashira4,C25990,C25F10,B54CA0,B550F0,8089B970,actors
ovl_Bg_Mori_Hineri,C25F10,C26C60,B550F0,B55AD0,8089BF00,actors
ovl_Bg_Mori_Idomizu,C26C60,C272A0,B55AD0,B55FC0,8089CC50,actors
ovl_Bg_Mori_Kaitenkabe,C272A0,C27910,B55FC0,B56510,8089D290,actors
ovl_Bg_Mori_Rakkatenjo,C27910,C28290,B56510,B56BD0,8089D900,actors
ovl_Bg_Po_Event,C28290,C2A0C0,B56BD0,B58220,8089E280,actors
ovl_Bg_Po_Syokudai,C2A0C0,C2AA30,B58220,B589D0,808A00C0,actors
ovl_Bg_Pushbox,C2AA30,C2AD30,B589D0,B58C60,808A0A30,actors
ovl_Bg_Relay_Objects,C2AD30,C2B4E0,B58C60,B59280,808A0D30,actors
ovl_Bg_Spot00_Break,C2B4E0,C2B680,B59280,B593F0,808A14E0,actors
ovl_Bg_Spot00_Hanebasi,C2B680,C2C790,B593F0,B5A1B0,808A1680,actors
ovl_Bg_Spot01_Fusya,C2C790,C2CA30,B5A1B0,B5A400,808A2790,actors
ovl_Bg_Spot01_Idohashira,C2CA30,C2D630,B5A400,B5AD30,808A2A30,actors
ovl_Bg_Spot01_Idomizu,C2D630,C2D950,B5AD30,B5B000,808A3630,actors
ovl_Bg_Spot01_Idosoko,C2D950,C2DB60,B5B000,B5B1C0,808A3950,actors
ovl_Bg_Spot01_Objects2,C2DB60,C2E020,B5B1C0,B5B5D0,808A3B60,actors
ovl_Bg_Spot02_Objects,C2E020,C2F380,B5B5D0,B5C3B0,808A4020,actors
ovl_Bg_Spot03_Taki,C2F380,C2FCA0,B5C3B0,B5CA90,808A5380,actors
ovl_Bg_Spot05_Soko,C2FCA0,C2FFC0,B5CA90,B5CD20,808A5CA0,actors
ovl_Bg_Spot06_Objects,C2FFC0,C313C0,B5CD20,B5DC30,808A5FC0,actors
ovl_Bg_Spot07_Taki,C313C0,C319B0,B5DC30,B5E0A0,808A73C0,actors
ovl_Bg_Spot08_Bakudankabe,C319B0,C32050,B5E0A0,B5E650,808A79B0,actors
ovl_Bg_Spot08_Iceblock,C32050,C33090,B5E650,B5F1F0,808A8050,actors
ovl_Bg_Spot09_Obj,C33090,C335B0,B5F1F0,B5F5C0,808A9090,actors
ovl_Bg_Spot11_Bakudankabe,C335B0,C33BF0,B5F5C0,B5FB20,808A95B0,actors
ovl_Bg_Spot11_Oasis,C33BF0,C34320,B5FB20,B60150,808A9BF0,actors
ovl_Bg_Spot12_Gate,C34320,C34730,B60150,B60460,808AA320,actors
ovl_Bg_Spot12_Saku,C34730,C34BF0,B60460,B60820,808AA730,actors
ovl_Bg_Spot15_Rrbox,C34BF0,C359D0,B60820,B61230,808AABF0,actors
ovl_Bg_Spot15_Saku,C359D0,C35D10,B61230,B61500,808AB9D0,actors
ovl_Bg_Spot16_Bombstone,C35D10,C37260,B61500,B625E0,808ABD10,actors
ovl_Bg_Spot16_Doughnut,C37260,C37820,B625E0,B62AB0,808AD260,actors
ovl_Bg_Spot17_Bakudankabe,C37820,C37F10,B62AB0,B63090,808AD820,actors
ovl_Bg_Spot17_Funen,C37F10,C38160,B63090,B632A0,808ADF10,actors
ovl_Bg_Spot18_Basket,C38160,C39150,B632A0,B63EB0,808AE160,actors
ovl_Bg_Spot18_Futa,C39150,C392F0,B63EB0,B64010,808AF150,actors
ovl_Bg_Spot18_Obj,C392F0,C39BC0,B64010,B64660,808AF2F0,actors
ovl_Bg_Spot18_Shutter,C39BC0,C3A110,B64660,B64A80,808AFBC0,actors
ovl_Bg_Sst_Floor,C3A110,C3A670,B64A80,B64F70,808B0110,actors
ovl_Bg_Toki_Hikari,C3A670,C3B410,B64F70,B657A0,808B0670,actors
ovl_Bg_Toki_Swd,C3B410,C3CA60,B657A0,B661E0,808B1410,actors
ovl_Bg_Treemouth,C3CA60,C3E0C0,B661E0,B66DE0,808B2A60,actors
ovl_Bg_Umajump,C3E0C0,C3E250,B66DE0,B66F50,808B40C0,actors
ovl_Bg_Vb_Sima,C3E250,C3E970,B66F50,B675A0,808B4250,actors
ovl_Bg_Ydan_Hasi,C3E970,C3F120,B675A0,B67BC0,808B4970,actors
ovl_Bg_Ydan_Maruta,C3F120,C3F800,B67BC0,B68140,808B5120,actors
ovl_Bg_Ydan_Sp,C3F800,C40F20,B68140,B69220,808B5800,actors
ovl_Bg_Zg,C40F20,C41370,B69220,B695A0,808B6F20,actors
ovl_Boss_Dodongo,C41370,C4AE70,B695A0,B6F870,808B7370,actors
ovl_Boss_Fd,C4AE70,C521D0,B6F870,B74570,808C0E70,actors
ovl_Boss_Fd2,C521D0,C55F00,B74570,B770D0,808C81D0,actors
ovl_Boss_Ganon,C55F00,C781B0,B770D0,B8C800,808CBF00,actors
ovl_Boss_Ganon2,C781B0,C89500,B8C800,B96DB0,808F1D30,actors
ovl_Boss_Ganondrof,C89500,C8E290,B96DB0,B9A120,80904BA0,actors
ovl_Boss_Goma,C8E290,C94230,B9A120,B9DB30,80909930,actors
ovl_Boss_Mo,C94230,C9FD00,B9DB30,BA5D50,8090F8D0,actors
ovl_Boss_Sst,C9FD00,CAC290,BA5D50,BAD8B0,8091FEB0,actors
ovl_Boss_Tw,CAC290,CBF3E0,BAD8B0,BB9EA0,8092C480,actors
ovl_Boss_Va,CBF3E0,CCDC70,BB9EA0,BC34D0,80942050,actors
ovl_Demo_6K,CCDC70,CD09D0,BC34D0,BC5620,809592E0,actors
ovl_Demo_Du,CD09D0,CD41B0,BC5620,BC71C0,8095C040,actors
ovl_Demo_Ec,CD41B0,CD7A10,BC71C0,BC88E0,8095F820,actors
ovl_Demo_Effect,CD7A10,CDD5B0,BC88E0,BCC450,80963080,actors
ovl_Demo_Ext,CDD5B0,CDDF00,BCC450,BCCB80,80968C20,actors
ovl_Demo_Geff,CDDF00,CDE720,BCCB80,BCD170,80969570,actors
ovl_Demo_Gj,CDE720,CE23D0,BCD170,BCEDE0,80969D90,actors
ovl_Demo_Go,CE23D0,CE3120,BCEDE0,BCF720,8096DA40,actors
ovl_Demo_Gt,CE3120,CE8730,BCF720,BD22A0,8096E790,actors
ovl_Demo_Ik,CE8730,CE9C40,BD22A0,BD2FB0,80973DA0,actors
ovl_Demo_Im,CE9C40,CEDBB0,BD2FB0,BD4F50,809752B0,actors
ovl_Demo_Kankyo,CEDBB0,CF1850,BD4F50,BD7360,80979220,actors
ovl_Demo_Kekkai,CF1850,CF2B40,BD7360,BD81F0,8097CF10,actors
ovl_Demo_Sa,CF2B40,CF5660,BD81F0,BD9750,8097E200,actors
ovl_Demo_Shd,CF5660,CF7A70,BD9750,BDAF70,80980D20,actors
ovl_Demo_Tre_Lgt,CF7A70,CF8180,BDAF70,BDB560,80983130,actors
ovl_Door_Ana,CF8180,CF87F0,BDB560,BDBAC0,80983840,actors
ovl_Door_Gerudo,CF87F0,CF8DE0,BDBAC0,BDBFC0,80983EB0,actors
ovl_Door_Killer,CF8DE0,CFA350,BDBFC0,BDD040,809844A0,actors
ovl_Door_Shutter,CFA350,CFC610,BDD040,BDE930,80985A10,actors
ovl_Door_Toki,CFC610,CFC770,BDE930,BDEA50,80987CD0,actors
ovl_Door_Warp1,CFC770,D00A70,BDEA50,BE10D0,80987E30,actors
ovl_Efc_Erupc,D00A70,D01560,BE10D0,BE19C0,8098C140,actors
ovl_Eff_Dust,D01560,D02930,BE19C0,BE25B0,8098CC30,actors
ovl_Effect_Ss_Blast,D02930,D02CC0,BE25B0,BE2920,8098E000,effects
ovl_Effect_Ss_Bomb,D02CC0,D030F0,BE2920,BE2D00,8098E390,effects
ovl_Effect_Ss_Bomb2,D030F0,D039F0,BE2D00,BE33B0,8098E7C0,effects
ovl_Effect_Ss_Bubble,D039F0,D03E70,BE33B0,BE37B0,8098F0C0,effects
ovl_Effect_Ss_D_Fire,D03E70,D04360,BE37B0,BE3C50,8098F540,effects
ovl_Effect_Ss_Dead_Db,D04360,D04840,BE3C50,BE4100,8098FA30,effects
ovl_Effect_Ss_Dead_Dd,D04840,D04DD0,BE4100,BE4620,8098FF10,effects
ovl_Effect_Ss_Dead_Ds,D04DD0,D05250,BE4620,BE4A50,809904A0,effects
ovl_Effect_Ss_Dead_Sound,D05250,D05390,BE4A50,BE4B90,80990920,effects
ovl_Effect_Ss_Dt_Bubble,D05390,D05920,BE4B90,BE5070,80990A60,effects
ovl_Effect_Ss_Dust,D05920,D06160,BE5070,BE5720,80990FF0,effects
ovl_Effect_Ss_En_Fire,D06160,D068B0,BE5720,BE5DB0,80991830,effects
ovl_Effect_Ss_En_Ice,D068B0,D07170,BE5DB0,BE6560,80991F80,effects
ovl_Effect_Ss_Extra,D07170,D07530,BE6560,BE6900,80992840,effects
ovl_Effect_Ss_Fcircle,D07530,D079E0,BE6900,BE6D70,80992C00,effects
ovl_Effect_Ss_Fhg_Flash,D079E0,D08960,BE6D70,BE7780,809930B0,effects
ovl_Effect_Ss_Fire_Tail,D08960,D09060,BE7780,BE7DD0,80994030,effects
ovl_Effect_Ss_G_Fire,D09060,D092F0,BE7DD0,BE8030,80994730,effects
ovl_Effect_Ss_G_Magma,D092F0,D09550,BE8030,BE8270,809949C0,effects
ovl_Effect_Ss_G_Magma2,D09550,D09A60,BE8270,BE8730,80994C20,effects
ovl_Effect_Ss_G_Ripple,D09A60,D09FC0,BE8730,BE8C10,80995130,effects
ovl_Effect_Ss_G_Spk,D09FC0,D0A570,BE8C10,BE9130,80995690,effects
ovl_Effect_Ss_G_Splash,D0A570,D0AA20,BE9130,BE94F0,80995C40,effects
ovl_Effect_Ss_Hahen,D0AA20,D0B060,BE94F0,BE99E0,809960F0,effects
ovl_Effect_Ss_HitMark,D0B060,D0B5B0,BE99E0,BE9E90,80996730,effects
ovl_Effect_Ss_Ice_Piece,D0B5B0,D0B9F0,BE9E90,BEA290,80996C80,effects
ovl_Effect_Ss_Ice_Smoke,D0B9F0,D0BED0,BEA290,BEA6D0,809970C0,effects
ovl_Effect_Ss_K_Fire,D0BED0,D0C310,BEA6D0,BEAAD0,809975A0,effects
ovl_Effect_Ss_Kakera,D0C310,D0D3A0,BEAAD0,BEB710,809979E0,effects
ovl_Effect_Ss_KiraKira,D0D3A0,D0DA10,BEB710,BEBCB0,80998A70,effects
ovl_Effect_Ss_Lightning,D0DA10,D0E0E0,BEBCB0,BEC300,809990E0,effects
ovl_Effect_Ss_Sibuki,D0E0E0,D0E7B0,BEC300,BEC900,809997B0,effects
ovl_Effect_Ss_Sibuki2,D0E7B0,D0EAE0,BEC900,BECC00,80999E80,effects
ovl_Effect_Ss_Solder_Srch_Ball,D0EAE0,D0EC90,BECC00,BECDA0,8099A1B0,effects
ovl_Effect_Ss_Stick,D0EC90,D0F030,BECDA0,BED0F0,8099A360,effects
ovl_Effect_Ss_Stone1,D0F030,D0F3B0,BED0F0,BED440,8099A700,effects
ovl_Elf_Msg,D0F3B0,D0F9A0,BED440,BED8A0,8099AA80,actors
ovl_Elf_Msg2,D0F9A0,D0FE10,BED8A0,BEDBA0,8099B070,actors
ovl_En_Am,D0FE10,D12210,BEDBA0,BEF3E0,8099B4E0,actors
ovl_En_Ani,D12210,D12F80,BEF3E0,BEFD70,8099D8E0,actors
ovl_En_Anubice,D12F80,D14230,BEFD70,BF0B40,8099E650,actors
ovl_En_Anubice_Fire,D14230,D14FF0,BF0B40,BF16A0,8099F900,actors
ovl_En_Anubice_Tag,D14FF0,D152C0,BF16A0,BF1910,809A06C0,actors
ovl_En_Arow_Trap,D152C0,D15410,BF1910,BF1A50,809A0990,actors
ovl_En_Arrow,D15410,D16B10,BF1A50,BF2AC0,809A0AE0,actors
ovl_En_Attack_Niw,D16B10,D17D70,BF2AC0,BF3820,809A21E0,actors
ovl_En_Ba,D17D70,D19C40,BF3820,BF4C50,809A3440,actors
ovl_En_Bb,D19C40,D1D920,BF4C50,BF7810,809A5310,actors
ovl_En_Bdfire,D1D920,D1E4C0,BF7810,BF8120,809A8FF0,actors
ovl_En_Bigokuta,D1E4C0,D20FC0,BF8120,BF9E50,809A9B90,actors
ovl_En_Bili,D20FC0,D23290,BF9E50,BFB680,809AC690,actors
ovl_En_Bird,D23290,D23750,BFB680,BFBA60,809AE960,actors
ovl_En_Blkobj,D23750,D23CB0,BFBA60,BFBEE0,809AEE20,actors
ovl_En_Bom,D23CB0,D24B80,BFBEE0,BFCA90,809AF380,actors
