name,vrom_start,vrom_end,rom_start,rom_end,overlay_vram_start,overlay_dir
ovl_En_Bom_Bowl_Man,D24B80,D260C0,BFCA90,BFDA30,809B0250,actors
ovl_En_Bom_Bowl_Pit,D260C0,D26A30,BFDA30,BFE190,809B1790,actors
ovl_En_Bom_Chu,D26A30,D280D0,BFE190,BFF380,809B2100,actors
ovl_En_Bombf,D280D0,D29560,BFF380,C00370,809B37A0,actors
ovl_En_Boom,D29560,D29E30,C00370,C00AB0,809B4C30,actors
ovl_En_Box,D29E30,D2B980,C00AB0,C01DA0,809B5500,actors
ovl_En_Brob,D2B980,D2CA70,C01DA0,C029E0,809B7060,actors
ovl_En_Bubble,D2CA70,D2DE90,C029E0,C03940,809B8150,actors
ovl_En_Butte,D2DE90,D2F460,C03940,C04910,809B9570,actors
ovl_En_Bw,D2F460,D327F0,C04910,C06BC0,809BAB40,actors
ovl_En_Bx,D327F0,D332F0,C06BC0,C07560,809BDED0,actors
ovl_En_Changer,D332F0,D33CD0,C07560,C07CB0,809BE9D0,actors
ovl_En_Clear_Tag,D33CD0,D3C840,C07CB0,C0C090,809BF3B0,actors
ovl_En_Cow,D3C840,D3DCA0,C0C090,C0CDB0,809CA950,actors
ovl_En_Crow,D3DCA0,D3F340,C0CDB0,C0DE80,809CBDB0,actors
ovl_En_Cs,D3F340,D40570,C0DE80,C0EC70,809CD450,actors
ovl_En_Daiku,D40570,D41CB0,C0EC70,C0FE50,809CE680,actors
ovl_En_Daiku_Kakariko,D41CB0,D43070,C0FE50,C10D30,809CFDC0,actors
ovl_En_Dekubaba,D43070,D46B20,C10D30,C132F0,809D1180,actors
ovl_En_Dekunuts,D46B20,D48320,C132F0,C142A0,809D4C30,actors
ovl_En_Dh,D48320,D49E00,C142A0,C15620,809D6430,actors
ovl_En_Dha,D49E00,D4AE00,C15620,C16200,809D7F10,actors
ovl_En_Diving_Game,D4AE00,D4C7B0,C16200,C17400,809D8F10,actors
ovl_En_Dns,D4C7B0,D4DB40,C17400,C180D0,809DA8C0,actors
ovl_En_Dnt_Demo,D4DB40,D4E860,C180D0,C18B20,809DBC50,actors
ovl_En_Dnt_Jiji,D4E860,D4FD80,C18B20,C197E0,809DC970,actors
ovl_En_Dnt_Nomal,D4FD80,D52B80,C197E0,C1B390,809DDE90,actors
ovl_En_Dodojr,D52B80,D54A20,C1B390,C1C8E0,809E0C90,actors
ovl_En_Dodongo,D54A20,D577C0,C1C8E0,C1E820,809E2B30,actors
ovl_En_Dog,D577C0,D58970,C1E820,C1F4A0,809E58D0,actors
ovl_En_Door,D58970,D597B0,C1F4A0,C20070,809E6A80,actors
ovl_En_Ds,D597B0,D5A3D0,C20070,C208E0,809E78C0,actors
ovl_En_Du,D5A3D0,D5BE60,C208E0,C21B30,809E84E0,actors
ovl_En_Dy_Extra,D5BE60,D5C400,C21B30,C22020,809E9F70,actors
ovl_En_Eg,D5C400,D5C5B0,C22020,C22180,809EA510,actors
ovl_En_Eiyer,D5C5B0,D5E210,C22180,C235B0,809EA6C0,actors
ovl_En_Elf,D5E210,D62BD0,C235B0,C265B0,809EC320,actors
ovl_En_Encount1,D62BD0,D63730,C265B0,C26F10,809F0CE0,actors
ovl_En_Encount2,D63730,D64960,C26F10,C27D20,809F1840,actors
ovl_En_Ex_Item,D64960,D65AE0,C27D20,C289E0,809F2A70,actors
ovl_En_Ex_Ruppy,D65AE0,D66BA0,C289E0,C296B0,809F3BF0,actors
ovl_En_Fd,D66BA0,D69840,C296B0,C2B7A0,809F4CB0,actors
ovl_En_Fd_Fire,D69840,D6A550,C2B7A0,C2C2A0,809F7950,actors
ovl_En_Fhg_Fire,D6A550,D6CBF0,C2C2A0,C2DE40,809F8660,actors
ovl_En_Fire_Rock,D6CBF0,D6DD00,C2DE40,C2EAB0,809FAD00,actors
ovl_En_Firefly,D6DD00,D6FE70,C2EAB0,C30130,809FBE10,actors
ovl_En_Fish,D6FE70,D71F80,C30130,C315F0,809FDF80,actors
ovl_En_Floormas,D71F80,D75360,C315F0,C335E0,80A00090,actors
ovl_En_Fr,D75360,D77DF0,C335E0,C35420,80A03470,actors
ovl_En_Fu,D77DF0,D78B30,C35420,C35E90,80A05F00,actors
ovl_En_Fw,D78B30,D7A2F0,C35E90,C371C0,80A06C50,actors
ovl_En_Fz,D7A2F0,D7C300,C371C0,C38870,80A08410,actors
ovl_En_G_Switch,D7C300,D7DB20,C38870,C39B00,80A0A420,actors
ovl_En_Ganon_Mant,D7DB20,D81D50,C39B00,C3B850,80A0BC40,actors
ovl_En_Ganon_Organ,D81D50,D88D90,C3B850,C3EEE0,80A0FE70,actors
ovl_En_Gb,D88D90,D8A4C0,C3EEE0,C40010,80A16EB0,actors
ovl_En_Ge1,D8A4C0,D8C4F0,C40010,C41440,80A185E0,actors
ovl_En_Ge2,D8C4F0,D8DE90,C41440,C425D0,80A1A610,actors
ovl_En_Ge3,D8DE90,D8EAD0,C425D0,C42EF0,80A1BFB0,actors
ovl_En_GeldB,D8EAD0,D93E80,C42EF0,C462C0,80A1CBF0,actors
ovl_En_GirlA,D93E80,D967A0,C462C0,C47730,80A21FA0,actors
ovl_En_Gm,D967A0,D974D0,C47730,C48140,80A248C0,actors
ovl_En_Go,D974D0,D9BB10,C48140,C4AEC0,80A255F0,actors
ovl_En_Go2,D9BB10,DA1B50,C4AEC0,C4ECE0,80A29C30,actors
ovl_En_Goma,DA1B50,DA4800,C4ECE0,C50A80,80A2FC70,actors
ovl_En_Goroiwa,DA4800,DA6BC0,C50A80,C523A0,80A32920,actors
ovl_En_Gs,DA6BC0,DA8A30,C523A0,C53A00,80A34CE0,actors
ovl_En_Guest,DA8A30,DA93D0,C53A00,C54210,80A36B50,actors
ovl_En_Hata,DA93D0,DA9960,C54210,C54710,80A374F0,actors
ovl_En_Heishi1,DA9960,DAAE70,C54710,C55570,80A37A80,actors
ovl_En_Heishi2,DAAE70,DAD070,C55570,C56A20,80A38F90,actors
ovl_En_Heishi3,DAD070,DADA40,C56A20,C57150,80A3B190,actors
ovl_En_Heishi4,DADA40,DAE940,C57150,C57BE0,80A3BB60,actors
ovl_En_Hintnuts,DAE940,DB0370,C57BE0,C58D90,80A3CA60,actors
ovl_En_Holl,DB0370,DB1340,C58D90,C59930,80A3E490,actors
ovl_En_Honotrap,DB1340,DB28A0,C59930,C5A900,80A3F460,actors
ovl_En_Horse,DB28A0,DBEB00,C5A900,C62100,80A409C0,actors
ovl_En_Horse_Game_Check,DBEB00,DBFBD0,C62100,C62D20,80A4CC20,actors
ovl_En_Horse_Ganon,DBFBD0,DC0950,C62D20,C63790,80A4DCF0,actors
ovl_En_Horse_Link_Child,DC0950,DC2750,C63790,C64990,80A4EA70,actors
ovl_En_Horse_Normal,DC2750,DC4D70,C64990,C661E0,80A50870,actors
ovl_En_Horse_Zelda,DC4D70,DC5860,C661E0,C66AB0,80A52E90,actors
ovl_En_Hs,DC5860,DC6400,C66AB0,C672F0,80A53980,actors
ovl_En_Hs2,DC6400,DC69E0,C672F0,C677D0,80A54520,actors
ovl_En_Hy,DC69E0,DCA320,C677D0,C69C00,80A54B00,actors
ovl_En_Ice_Hono,DCA320,DCB510,C69C00,C6A8D0,80A58440,actors
ovl_En_Ik,DCB510,DCFB60,C6A8D0,C6D1C0,80A59630,actors
ovl_En_In,DCFB60,DD2900,C6D1C0,C6F290,80A5DC90,actors
ovl_En_Insect,DD2900,DD4E20,C6F290,C70B30,80A60A30,actors
ovl_En_Ishi,DD4E20,DDDF70,C70B30,C71E90,80A62F50,actors
ovl_En_It,DDDF70,DDE100,C71E90,C71FC0,80A6C0A0,actors
ovl_En_Jj,DDE100,DDF6D0,C71FC0,C72C10,80A6C230,actors
ovl_En_Js,DDF6D0,DE00A0,C72C10,C73330,80A6D800,actors
ovl_En_Jsjutan,DE00A0,DE4E70,C73330,C750A0,80A6E1D0,actors
ovl_En_Kakasi,DE4E70,DE5BB0,C750A0,C75AC0,80A73B00,actors
ovl_En_Kakasi2,DE5BB0,DE62D0,C75AC0,C76060,80A74840,actors
ovl_En_Kakasi3,DE62D0,DE73B0,C76060,C76CA0,80A74F60,actors
ovl_En_Kanban,DE73B0,DEA500,C76CA0,C78AB0,80A76040,actors
ovl_En_Karebaba,DEA500,DEBDF0,C78AB0,C79C30,80A79190,actors
ovl_En_Ko,DEBDF0,DEFF30,C79C30,C7C1D0,80A7AA80,actors
ovl_En_Kusa,DEFF30,DF1410,C7C1D0,C7D120,80A7EBC0,actors
ovl_En_Kz,DF1410,DF29B0,C7D120,C7E120,80A800A0,actors
ovl_En_Light,DF29B0,DF37B0,C7E120,C7EB00,80A81640,actors
ovl_En_Lightbox,DF37B0,DF3C30,C7EB00,C7EED0,80A82440,actors
ovl_En_M_Fire1,DF3C30,DF3DD0,C7EED0,C7F020,80A828C0,actors
ovl_En_M_Thunder,DF3DD0,DF53D0,C7F020,C80020,80A82A60,actors
ovl_En_Ma1,DF53D0,DF66B0,C80020,C80E30,80A84060,actors
ovl_En_Ma2,DF66B0,DF7710,C80E30,C81AB0,80A85340,actors
ovl_En_Ma3,DF7710,DF86C0,C81AB0,C826D0,80A863A0,actors
ovl_En_Mag,DF86C0,DFABE0,C826D0,C84120,80A87350,actors
ovl_En_Mb,DFABE0,DFEE10,C84120,C86C10,80A89870,actors
ovl_En_Md,DFEE10,E01480,C86C10,C88310,80A8DAA0,actors
ovl_En_Mk,E01480,E02310,C88310,C88CF0,80A90110,actors
ovl_En_Mm,E02310,E03970,C88CF0,C89DF0,80A90FA0,actors
ovl_En_Mm2,E03970,E04730,C89DF0,C8A860,80A92600,actors
ovl_En_Ms,E04730,E04E20,C8A860,C8AE10,80A933C0,actors
ovl_En_Mu,E04E20,E05740,C8AE10,C8B5D0,80A93AB0,actors
ovl_En_Nb,E05740,E09D10,C8B5D0,C8DA50,80A943D0,actors
ovl_En_Niw,E09D10,E0D040,C8DA50,C8FF30,80A989A0,actors
ovl_En_Niw_Girl,E0D040,E0DB10,C8FF30,C90880,80A9BCD0,actors
ovl_En_Niw_Lady,E0DB10,E0F410,C90880,C91A70,80A9C7A0,actors
ovl_En_Nutsball,E0F410,E0FA30,C91A70,C91FF0,80A9E0A0,actors
ovl_En_Nwc,E0FA30,E10450,C91FF0,C92880,80A9E6C0,actors
ovl_En_Ny,E10450,E11D90,C92880,C93B00,80A9F0E0,actors
ovl_En_OE2,E11D90,E11E70,C93B00,C93B90,80AA0A20,actors
ovl_En_Okarina_Effect,E11E70,E12230,C93B90,C93E80,80AA0B00,actors
ovl_En_Okarina_Tag,E12230,E13730,C93E80,C94A80,80AA0EC0,actors
ovl_En_Okuta,E13730,E15D10,C94A80,C964C0,80AA23C0,actors
ovl_En_Ossan,E15D10,E1C2F0,C964C0,C99CA0,80AA49A0,actors
ovl_En_Owl,E1C2F0,E1FE90,C99CA0,C9BF20,80AAAF80,actors
ovl_En_Part,E1FE90,E214F0,C9BF20,C9CF90,80AAEB20,actors
ovl_En_Peehat,E214F0,E24BF0,C9CF90,C9F260,80AB0180,actors
ovl_En_Po_Desert,E24BF0,E259B0,C9F260,C9FDB0,80AB3880,actors
ovl_En_Po_Field,E259B0,E293B0,C9FDB0,CA2620,80AB4640,actors
ovl_En_Po_Relay,E293B0,E2AAC0,CA2620,CA37A0,80AB80D0,actors
ovl_En_Po_Sisters,E2AAC0,E2F7B0,CA37A0,CA69E0,80AB97E0,actors
ovl_En_Poh,E2F7B0,E339A0,CA69E0,CA9420,80ABE4D0,actors
ovl_En_Pu_box,E339A0,E33CE0,CA9420,CA9700,80AC26C0,actors
ovl_En_Rd,E33CE0,E365A0,CA9700,CAB110,80AC2A00,actors
ovl_En_Reeba,E365A0,E38010,CAB110,CAC410,80AC52C0,actors
ovl_En_River_Sound,E38010,E389A0,CAC410,CACBE0,80AC6D30,actors
ovl_En_Rl,E389A0,E39880,CACBE0,CAD500,80AC76C0,actors
ovl_En_Rr,E39880,E3BDB0,CAD500,CAF010,80AC85A0,actors
ovl_En_Ru1,E3BDB0,E43450,CAF010,CB2E60,80ACAAD0,actors
ovl_En_Ru2,E43450,E461D0,CB2E60,CB44A0,80AD2170,actors
ovl_En_Sa,E461D0,E48440,CB44A0,CB5B00,80AD4EF0,actors
ovl_En_Sb,E48440,E49880,CB5B00,CB6880,80AD7160,actors
ovl_En_Scene_Change,E49880,E499B0,CB6880,CB6970,80AD85A0,actors
ovl_En_Sda,E499B0,E4AFE0,CB6970,CB7840,80AD86D0,actors
ovl_En_Shopnuts,E4AFE0,E4BEF0,CB7840,CB82A0,80AD9DC0,actors
ovl_En_Si,E4BEF0,E4C3F0,CB82A0,CB86C0,80ADACD0,actors
ovl_En_Siofuki,E4C3F0,E4D1A0,CB86C0,CB9100,80ADB1D0,actors
ovl_En_Skb,E4D1A0,E4EA90,CB9100,CBA320,80ADBF80,actors
ovl_En_Skj,E4EA90,E523D0,CBA320,CBC6E0,80ADD870,actors
ovl_En_Skjneedle,E523D0,E526E0,CBC6E0,CBC990,80AE11C0,actors
ovl_En_Ssh,E526E0,E54CD0,CBC990,CBE3E0,80AE14D0,actors
ovl_En_St,E54CD0,E57940,CBE3E0,CC02C0,80AE3AC0,actors
ovl_En_Sth,E57940,E5BA00,CC02C0,CC2E90,80AE6730,actors
ovl_En_Stream,E5BA00,E5BF90,CC2E90,CC3360,80AEA7F0,actors
ovl_En_Sw,E5BF90,E5F700,CC3360,CC5BA0,80AEAD80,actors
ovl_En_Syateki_Itm,E5F700,E604A0,CC5BA0,CC6610,80AEE570,actors
ovl_En_Syateki_Man,E604A0,E61260,CC6610,CC7040,80AEF310,actors
ovl_En_Syateki_Niw,E61260,E632F0,CC7040,CC8810,80AF00D0,actors
ovl_En_Ta,E632F0,E66CB0,CC8810,CCAB60,80AF2160,actors
ovl_En_Takara_Man,E66CB0,E67570,CCAB60,CCB2E0,80AF5B20,actors
ovl_En_Tana,E67570,E67820,CCB2E0,CCB520,80AF63E0,actors
ovl_En_Tg,E67820,E67F00,CCB520,CCBAF0,80AF6690,actors
ovl_En_Tite,E67F00,E6ACA0,CCBAF0,CCD6A0,80AF6D70,actors
ovl_En_Tk,E6ACA0,E6CAD0,CCD6A0,CCECD0,80AF9B10,actors
ovl_En_Torch,E6CAD0,E6CBC0,CCECD0,CCEDB0,80AFB940,actors
ovl_En_Torch2,E6CBC0,E6F320,CCEDB0,CD0A50,80AFBA30,actors
ovl_En_Toryo,E6F320,E6FFB0,CD0A50,CD1380,80AFE1D0,actors
ovl_En_Tp,E6FFB0,E71E20,CD1380,CD29B0,80AFEE60,actors
ovl_En_Tr,E71E20,E73720,CD29B0,CD3BB0,80B00CD0,actors
ovl_En_Trap,E73720,E749C0,CD3BB0,CD47F0,80B025D0,actors
ovl_En_Tubo_Trap,E749C0,E75660,CD47F0,CD5100,80B03870,actors
ovl_En_Vali,E75660,E77D20,CD5100,CD6BB0,80B04510,actors
ovl_En_Vase,E77D20,E77E20,CD6BB0,CD6C90,80B06BD0,actors
ovl_En_Vb_Ball,E77E20,E78FD0,CD6C90,CD79E0,80B06CD0,actors
ovl_En_Viewer,E78FD0,E7BE70,CD79E0,CD9950,80B07E80,actors
ovl_En_Vm,E7BE70,E7D730,CD9950,CDAAF0,80B0AD40,actors
ovl_En_Wall_Tubo,E7D730,E7DC20,CDAAF0,CDAF10,80B0C600,actors
ovl_En_Wallmas,E7DC20,E7F630,CDAF10,CDC0B0,80B0CAF0,actors
ovl_En_Weather_Tag,E7F630,E80520,CDC0B0,CDC7F0,80B0E500,actors
ovl_En_Weiyer,E80520,E81F20,CDC7F0,CDD910,80B0F3F0,actors
ovl_En_Wf,E81F20,E86230,CDD910,CE0460,80B10DF0,actors
ovl_En_Wonder_Item,E86230,E86E80,CE0460,CE0D20,80B15100,actors
ovl_En_Wonder_Talk,E86E80,E87510,CE0D20,CE1270,80B15E30,actors
ovl_En_Wonder_Talk2,E87510,E87BB0,CE1270,CE1810,80B164C0,actors
ovl_En_Wood02,E87BB0,E88D80,CE1810,CE2650,80B16B60,actors
ovl_En_Xc,E88D80,E8F4E0,CE2650,CE5B10,80B17D40,actors
ovl_En_Yabusame_Mark,E8F4E0,E8FBB0,CE5B10,CE6070,80B1E4D0,actors
ovl_En_Yukabyun,E8FBB0,E901C0,CE6070,CE65C0,80B1EBA0,actors
ovl_En_Zf,E901C0,E96CA0,CE65C0,CEAA50,80B1F1B0,actors
ovl_En_Zl1,E96CA0,E9AAB0,CEAA50,CEC9C0,80B25CA0,actors
ovl_En_Zl2,E9AAB0,E9F1B0,CEC9C0,CEEDB0,80B29AB0,actors
ovl_En_Zl3,E9F1B0,EA7000,CEEDB0,CF2E70,80B2E1B0,actors
ovl_En_Zl4,EA7000,EABA30,CF2E70,CF5440,80B36000,actors
ovl_En_Zo,EABA30,EADFF0,CF5440,CF6E60,80B3AA30,actors
ovl_En_fHG,EADFF0,EB0920,CF6E60,CF89A0,80B3CFF0,actors
ovl_End_Title,EB0920,EB4A40,CF89A0,CFA410,80B3F920,actors
ovl_Fishing,EB4A40,EC84E0,CFA410,D078E0,80B43A40,actors
ovl_Item_B_Heart,EC84E0,EC88F0,D078E0,D07C50,80B5E5B0,actors
ovl_Item_Etcetera,EC88F0,EC91C0,D07C50,D082F0,80B5E9C0,actors
ovl_Item_Inbox,EC91C0,EC9320,D082F0,D08400,80B5F290,actors
ovl_Item_Ocarina,EC9320,EC9AF0,D08400,D089C0,80B5F3F0,actors
ovl_Item_Shield,EC9AF0,ECA500,D089C0,D091C0,80B5FBC0,actors
ovl_Magic_Dark,ECA500,ECBD50,D091C0,D0A500,80B605D0,actors
ovl_Magic_Fire,ECBD50,ECE050,D0A500,D0C440,80B61E20,actors
ovl_Magic_Wind,ECE050,ECFD50,D0C440,D0DDD0,80B64120,actors
ovl_Mir_Ray,ECFD50,ED1600,D0DDD0,D0F1C0,80B65E20,actors
ovl_Obj_Bean,ED1600,ED3D90,D0F1C0,D10A90,80B676D0,actors
ovl_Obj_Blockstop,ED3D90,ED3F30,D10A90,D10C10,80B69E60,actors
ovl_Obj_Bombiwa,ED3F30,ED44A0,D10C10,D110D0,80B6A000,actors
ovl_Obj_Comb,ED44A0,ED4D00,D110D0,D11810,80B6A570,actors
ovl_Obj_Dekujr,ED4D00,ED5340,D11810,D11D50,80B6ADD0,actors
ovl_Obj_Elevator,ED5340,ED5700,D11D50,D12040,80B6B410,actors
ovl_Obj_Hamishi,ED5700,ED5F50,D12040,D12750,80B6B7D0,actors
ovl_Obj_Hana,ED5F50,ED6260,D12750,D129C0,80B6C020,actors
ovl_Obj_Hsblock,ED6260,ED6830,D129C0,D12E70,80B6C330,actors
ovl_Obj_Ice_Poly,ED6830,ED71E0,D12E70,D13660,80B6C900,actors
ovl_Obj_Kibako,ED71E0,ED7EE0,D13660,D13F40,80B6D2B0,actors
ovl_Obj_Kibako2,ED7EE0,ED85A0,D13F40,D14500,80B6DFB0,actors
ovl_Obj_Lift,ED85A0,ED8FC0,D14500,D14D40,80B6E670,actors
ovl_Obj_Lightswitch,ED8FC0,EDA3F0,D14D40,D15B10,80B6F090,actors
ovl_Obj_Makekinsuta,EDA3F0,EDA540,D15B10,D15C50,80B704C0,actors
ovl_Obj_Makeoshihiki,EDA540,EDA9D0,D15C50,D16030,80B70610,actors
ovl_Obj_Mure,EDA9D0,EDB9E0,D16030,D16B60,80B70AA0,actors
ovl_Obj_Mure2,EDB9E0,EDC400,D16B60,D172E0,80B71AB0,actors
ovl_Obj_Mure3,EDC400,EDCBD0,D172E0,D17910,80B724D0,actors
ovl_Obj_Oshihiki,EDCBD0,EDE680,D17910,D18BB0,80B72CA0,actors
ovl_Obj_Roomtimer,EDE680,EDE8D0,D18BB0,D18DB0,80B74750,actors
ovl_Obj_Switch,EDE8D0,EE06B0,D18DB0,D1A080,80B749A0,actors
ovl_Obj_Syokudai,EE06B0,EE12F0,D1A080,D1AAB0,80B76780,actors
ovl_Obj_Timeblock,EE12F0,EE1F40,D1AAB0,D1B3B0,80B773D0,actors
ovl_Obj_Tsubo,EE1F40,EE2F30,D1B3B0,D1BF10,80B78020,actors
ovl_Obj_Warp2block,EE2F30,EE3A60,D1BF10,D1C7E0,80B79010,actors
ovl_Object_Kankyo,EE3A60,EE6CE0,D1C7E0,D1EB40,80B79B40,actors
ovl_Oceff_Spot,EE6CE0,EE7C10,D1EB40,D1F830,80B7CDC0,actors
ovl_Oceff_Storm,EE7C10,EE97C0,D1F830,D212B0,80B7DCF0,actors
ovl_Oceff_Wipe,EE97C0,EEA540,D212B0,D21E70,80B7F8A0,actors
ovl_Oceff_Wipe2,EEA540,EEBCB0,D21E70,D22CB0,80B80620,actors
ovl_Oceff_Wipe3,EEBCB0,EED400,D22CB0,D23F30,80B81D90,actors
ovl_Oceff_Wipe4,EED400,EEE3E0,D23F30,D24B10,80B834E0,actors
ovl_Shot_Sun,EEE3E0,EEEAA0,D24B10,D250B0,80B844C0,actors
